Taxa	Romay_GDD_DTS
CML261	2488.9227
CML264	NaN
CML269	2103.8763
CML270	2108.849
CML277	2067.2061
CML281	NaN
CML287	2361.1821
CML288	2113.1049
CML289	2349.5081
CML295	1825.3624
CML304	1827.3808
CML308	2022.9117
CML309	2074.0639
CML310	1975.4567
CML311	1952.6293
CML312	2218.5576
CML313	2440.6041
CML314	1973.2017
CML315	2057.0419
CML316	1897.8792
CML317	1791.634
CML318	1843.9937
CML319	NaN
CML320	2443.4063
CML321	1995.9348
CML322	1831.7092
CML323	1870.4062
CML324	1856.0057
CML325	1724.4284
CML326	1569.8075
CML327	2216.812
CML328	1982.3558
CML329	1813.7155
CML330	1942.7803
CML331	2215.6355
CML332	2081.3494
CML333	1803.6014
CML334	2007.6468
CML335	1790.5809
CML336	1920.8381
CML337	1897.1168
CML338	2096.7146
CML339	2254.8481
CML340	2030.1421
CML341	2107.7619
CML342	2427.4253
CML343	1997.5157
CML344	2797.7303
CML345	2339.1793
CML346	2109.527
CML347	NaN
CML348	2391.2368
CML357	2248.0079
CML358	2130.3521
CML359	2390.0529
CML360	1934.5466
CML361	1718.8838
CML362	1843.3456
CML363	1773.9379
CML365	1589.6304
CML366	1842.8614
CML367	1727.7779
CML368	1896.3531
CML370	2335.8226
CML371	1919.1416
CML372	1966.8973
CML373	1965.2066
CML374	2091.474
CML375	1948.4047
CML376	1982.8435
CML377	2536.7099
CML378	2543.0784
CML379	2150.8523
CML38	2107.9588
CML380	NaN
CML381	2143.9166
CML383	2440.4464
CML384	2360.2256
CML386	2402.8639
CML387	2098.2946
CML388	2360.811
CML389	2369.3778
CML390	2253.8164
CML391	2233.6514
CML392	1924.5965
CML394	2440.8119
CML395	1919.4164
CML416	2846.3981
CML418	1656.0288
CML419	1805.9604
CML420	1914.2916
CML421	1825.1714
CML422	1765.203
CML423	1758.2991
CML424	1769.3439
CML425	2257.4867
CML426	1892.0411
CML427	2246.6776
CML429	2366.8312
CML430	2200.559
CML431	2013.1086
CML433	2158.635
CML434	NaN
CML436	2249.2243
CML438	1819.1334
CML440	2040.0199
CML441	2373.5269
CML448	2258.6199
CML449	1948.0749
CML45	2646.2092
CML450	2123.9833
CML451	2845.9642
CML454	2120.8555
CML456	1602.7943
CML474	2290.5831
CML476	1964.8287
CML480	1812.9921
CML481	2127.5712
CML482	2036.5932
CML483	1909.8385
CML484	1809.4497
CML485	1721.8934
CML486	2084.3684
CML487	1920.7303
CML490	2216.7968
CML491	2834.456
CML492	2028.0199
CML493	1954.7824
CML494	2069.3571
CML495	2781.0349
CML496	1942.5675
CML498	2721.5265
CML5	2383.904
CML50	NaN
CML500	2045.0277
CML503	NaN
CML52	2178.9138
CML61	2488.683
CML69	1980.9168
CML77	1749.4372
CML78	1808.6701
CML79	1826.0497
CML91	1927.9531
CML92	1777.6671
CML98	1841.4119
CMV3	1238.2251
CO106	1221.7832
CO125	1292.9193
CO255	1225.7033
CUB57c-2	1726.3106
D940Y	2026.9743
DE1	1624.5967
DE811	1627.4723
DE_2	NaN
DE_3	NaN
E2558W	1859.5305
EA1070	NaN
EA2000	NaN
EA2024	NaN
EA2841	NaN
EA3076	NaN
ECU_770b-2	1746.3526
EP1	1236.8433
EP10	NaN
EP16	NaN
EP2	NaN
EP2008-03	NaN
EP2008-04	NaN
EP2008-05	NaN
EP28	NaN
EP29	NaN
EP3	NaN
EP31	NaN
EP32	NaN
EP37	NaN
EP39	NaN
EP4	NaN
EP40	NaN
EP42	NaN
EP43	NaN
EP44	NaN
EP45	NaN
EP47	NaN
EP51	NaN
EP52	NaN
EP53	NaN
EP55	NaN
EP56	NaN
EP57	NaN
EP58	NaN
EP60	NaN
EP61	NaN
EP62	NaN
EP64	NaN
EP65	NaN
EP67	NaN
EP69	NaN
EP71	NaN
EP72	NaN
EP73	NaN
EP74	NaN
EP75	NaN
