Taxa	Lipka_aTgT
Ames26792	NaN
Ames26793	NaN
Ames26794	NaN
Ames26795	NaN
Ames26796	NaN
Ames26797	NaN
Ames26798	NaN
Ames26799	NaN
Ames26800	NaN
Ames26801	NaN
Ames26802	NaN
Ames26803	NaN
Ames26804	NaN
Ames26805	NaN
Ames26806	NaN
Ames26808	NaN
Ames26812	NaN
Ames26813	NaN
Ames26815	NaN
Ames26909	NaN
Ames27017	NaN
Ames27018	NaN
Ames27019	NaN
Ames27020	NaN
Ames27021	NaN
Ames27024	NaN
Ames27025	NaN
Ames27026	NaN
Ames27027	NaN
Ames27028	NaN
Ames27029	NaN
Ames27031	NaN
Ames27032	NaN
Ames27033	NaN
Ames27034	NaN
Ames27035	NaN
Ames27036	NaN
Ames27037	NaN
Ames27039	NaN
Ames27040	NaN
Ames27041	NaN
Ames27042	NaN
Ames27043	NaN
Ames27044	NaN
Ames27045	NaN
Ames27046	NaN
Ames27047	NaN
Ames27048	NaN
Ames27049	NaN
Ames27051	NaN
Ames27052	NaN
Ames27053	NaN
Ames27056	NaN
Ames27057	NaN
Ames27075	NaN
Ames27077	NaN
Ames27109	NaN
Ames27117	NaN
Ames27119	NaN
Ames27128	NaN
Ames27129	NaN
Ames27131	NaN
Ames27136	NaN
Ames27142	NaN
Ames27150	NaN
Ames27152	NaN
Ames27154	NaN
Ames27157	NaN
Ames27161	NaN
Ames27162	NaN
Ames27163	NaN
Ames27181	NaN
Ames27182	NaN
Ames27194	NaN
Ames27197	NaN
Ames27198	NaN
Ames27199	NaN
Ames27200	NaN
Ames27201	NaN
Ames27202	NaN
Ames27203	NaN
Ames27204	NaN
Ames27205	NaN
Ames27206	NaN
Ames27207	NaN
Ames27208	NaN
Ames27209	NaN
Ames27210	NaN
Ames27211	NaN
Ames27212	NaN
Ames27213	NaN
Ames27214	NaN
Ames27215	NaN
Ames27216	NaN
Ames27217	NaN
Ames27218	NaN
Ames27219	NaN
Ames27260	NaN
Ames27444	NaN
Ames27445	NaN
Ames27446	NaN
Ames27447	NaN
Ames27450	NaN
Ames27451	NaN
Ames28170	NaN
Ames28186	NaN
Ames28290	NaN
Ames28291	NaN
Ames28360	NaN
Ames28361	NaN
Ames28362	NaN
Ames28364	NaN
Ames28365	NaN
Ames28366	NaN
Ames28367	NaN
Ames28411	NaN
Ames28412	NaN
Ames28413	NaN
Ames28414	NaN
Ames28415	NaN
Ames28416	NaN
Ames28417	NaN
Ames28418	NaN
Ames28419	NaN
Ames28420	NaN
Ames28421	NaN
Ames28422	NaN
Ames28423	NaN
Ames28424	NaN
Ames28425	NaN
Ames28426	NaN
Ames28927	NaN
Ames28928	NaN
Ames28929	NaN
Ames28930	NaN
Ames28931	NaN
Ames28932	NaN
Ames28933	NaN
Ames28934	NaN
Ames28935	NaN
Ames28936	NaN
Ames28937	NaN
Ames28938	NaN
Ames28940	NaN
Ames28941	NaN
Ames28942	NaN
Ames28943	NaN
Ames28944	NaN
Ames28945	NaN
Ames28946	NaN
Ames28947	NaN
Ames28948	NaN
Ames28949	NaN
Ames28950	NaN
Ames28951	NaN
Ames28952	NaN
Ames28953	NaN
Ames28954	NaN
Ames28957	NaN
Ames28970	NaN
Ames28971	NaN
Ames28972	NaN
Ames28973	NaN
Ames28974	NaN
Ames28975	NaN
Ames28976	NaN
Ames28977	NaN
Ames28978	NaN
Ames28979	NaN
Ames28980	NaN
Ames28981	NaN
Ames28982	NaN
Ames28983	NaN
Ames28984	NaN
Ames28985	NaN
Ames28986	NaN
Ames28987	NaN
Ames28988	NaN
Ames28989	NaN
Ames28990	NaN
Ames28991	NaN
Ames28992	NaN
Ames28993	NaN
Ames28994	NaN
Ames28995	NaN
Ames28996	NaN
Ames28997	NaN
Ames28998	NaN
Ames28999	NaN
Ames29000	NaN
Ames29001	NaN
Ames29002	NaN
Ames29003	NaN
Ames29004	NaN
Ames29005	NaN
Ames29006	NaN
Ames29007	NaN
Ames29008	NaN
Ames29009	NaN
Ames29010	NaN
Ames29011	NaN
Ames29012	NaN
Ames29013	NaN
Ames29014	NaN
Ames29015	NaN
Ames29016	NaN
Ames29017	NaN
Ames29018	NaN
Ames29019	NaN
Ames29020	NaN
Ames29021	NaN
Ames29022	NaN
Ames29023	NaN
Ames29024	NaN
Ames29025	NaN
Ames29026	NaN
Ames29027	NaN
Ames29028	NaN
Ames29030	NaN
Ames29045	NaN
Ames29394	NaN
Ames29447	NaN
Ames29448	NaN
Ames29451	NaN
Ames30480	NaN
Ames30522	NaN
Ames30523	NaN
Ames30524	NaN
Ames30526	NaN
Ames30527	NaN
Ames30529	NaN
Ames30531	NaN
Ames30533	NaN
Ames30534	NaN
Ames30535	NaN
Ames30536	NaN
Ames30537	NaN
Ames30790	NaN
Ames30791	NaN
Ames30792	NaN
Ames30793	NaN
Ames30794	NaN
Ames30795	NaN
Ames30796	NaN
Ames30797	NaN
Ames30798	NaN
Ames30799	NaN
Ames30862	NaN
Ames30863	NaN
Ames30864	NaN
Ames30865	NaN
Ames30866	NaN
Ames30867	NaN
Ames30868	NaN
Ames30869	NaN
Ames30870	NaN
Ames8397	NaN
Ames8399	NaN
Ames_30480	NaN
B10	0.876915789
B103	0.753835418
B104	0.962729851
B105	0.916284087
B109	0.692471046
B115	0.908051952
B14A	0.9326414
B164	0.765374341
B2	0.651553642
B37	1.023198916
B46	0.953143821
B52	0.879359189
B57	0.795735024
B64	0.82967666
B68	0.883166108
B73	0.793360691
B73Htrhm	0.779740409
B75	0.837870246
B76	NaN
B77	0.789978869
B79	0.974220809
B84	0.855284928
B97	0.994422624
BAI_IIIb-6	NaN
BAI_IIId-2	NaN
C103	0.847445584
C123	0.959006034
C49A	0.733614469
CG10	NaN
CH701-30	0.893805334
CH9	0.654573176
CI.7	0.986553278
CI187-2	0.790035909
CI21E	0.887885947
CI28A	0.811372468
CI31A	0.731338168
CI3A	0.823046547
CI64	0.920487972
CI66	0.877703134
CI90C	0.825868003
CI91B	0.564109485
CIze127	NaN
CIze23	NaN
CIze27	NaN
CIze29	NaN
CIze3	NaN
CIze317	NaN
CIze38	NaN
CIze40	NaN
CIze42	NaN
CIze44	NaN
CIze45	NaN
CIze49	NaN
CIze7	NaN
CIze81	NaN
CIze82	NaN
CIze83	NaN
CIze85	NaN
CIze86	NaN
CIze88	NaN
CIze89	NaN
CIze90	NaN
CM105	1.021305424
CM174	1.020558465
CM37	0.820123057
CM7	0.958929956
CML10	NaN
CML101	NaN
CML103	0.936449662
CML107	NaN
CML108	1.019405281
CML11	0.915098079
CML115	NaN
CML116	NaN
CML118	NaN
CML121	NaN
CML139	NaN
